V01;V02;V03;V04;V05;V00;V1;V2;V3;V5;V205;V6;V7;V8;V9;V10;V11;V12;V13;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38;V39;V40;V41;V42;V43;V44;V45;V46;V119;V164
cod.linea;numero_especie;cod.esp;species;fuente.inicial;cod.cita;altura potencial de copa;ancho potencial de copa;brinda sombra en agroforesteria;densidad promedio de la copa;densidad promedio de la copa;follage;forma de copa;forma seg£n shademotion;frecuencia de poda;maxima densidad de copa;mes de maxima densidad de copa;mes de minima densidad de copa;tipo de ramificacion de copa;area de la hoja;area foliar espec!fica;concentracion de nitrogeno en la hoja;concentracion de nitrogeno en la hojarasca;contenido de materia seca en hojas;descomposabilidad de la hojarasca;epoca de caida de hojas;espezor de la hoja;fenolog!a de las hojas;flamabilidad de la hoja;uso como forraje;herbivoria de hojas;largo de hoja;palatabilidad hoja;relaci?n c/n hojas;tipo de hoja compuesta;tipo de hoja seg£n dureza;tipo de hoja simple;capacidad de regeneraci?n de ramas podadas;ancho de la hoja
;54;e43;Astrocaryum murumuru;Bezerra, 2008;c20;NA;NA;si;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;si;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Cruz et al., 2017;c52;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Gutierrez-Vasquez & Peralta, 2001;c90;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Kahn & Millan, 2013;c99;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Paniagua-Zambrana, 2005;c135;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Saldanha, 2012;c167;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"500;620";NA;NA;pinnada;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Tree Functional Attributes and Ecological Database;c203;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;perennifolio;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Ureta et al., 2014;c180;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;UTP (Useful Tropical Plants), 2019;c183;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;700;NA;NA;NA;NA;NA;bajo;NA
;56;e92;Cecropia engleriana;Rodriguez & Cuellar, 2021;c157;NA;NA;;;bajo;ralo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;perennifolio;NA;NA;NA;NA;NA;NA;NA;coriacea;NA;NA;NA
;56;e92;Cecropia engleriana;Berg, 1978;c18;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
