V01;V02;V03;V04;V05;V00;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V28;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V165;V166
cod.linea;numero_especie;cod.esp;species;fuente.inicial;cod.cita;agentes polinizadores;color de flores;duracion de la floracion;meses de floracion;recurso para abejass;sistema de polinizacion;tamano de corola;tipo de flor por corola;edad minima de produccion de fruta;frutas autoconsumo;frutas para la venta;meses de fructificacion;tipo de fruto segun el contenido de azucares (aplica a frutales);tipo de fruto variable combinada;agentes (animales) que ayudan a la germinaci?n;d!as a germinaci?n en vivero;forma de semilla;humedad de almacenamiento semilla;humedad ideal a germinaci?n semilla;largo de semilla;meses de dispersion de la semilla;modo de dispersi?n de la semilla por animales;numero de semillas por kilogramo;presente en viveros;semillas comestible por las personas;tasa de germinaci?n en vivero;tasa de parasitismo de semillas en campo;temperatur de almacenamiento de la semilla;tiempo de dormancia;t!po de dispersion;tipo de semilla por viabilidad;tratamiento pre-germinativo;peso de mil-semillas;peso por semilla
;54;e43;Astrocaryum murumuru;Bezerra, 2008;c20;NA;NA;NA;NA;NA;NA;NA;NA;"48;60";;;NA;;NA;NA;"180;360";NA;NA;NA;NA;1,2,3,4,5,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Cruz et al., 2017;c52;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Gutierrez-Vasquez & Peralta, 2001;c90;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Kahn & Millan, 2013;c99;NA;marron;NA;NA;NA;NA;"1.1;1.6";tubular;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Paniagua-Zambrana, 2005;c135;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Saldanha, 2012;c167;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;turbinado;NA;NA;NA;NA;NA;NA;NA;ornitocoria,mamaliocoria;NA;NA;NA;NA;NA;NA;NA;zoocoria,hidrocoria;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Tree Functional Attributes and Ecological Database;c203;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Ureta et al., 2014;c180;NA;NA;5;9,10,11,12,1,2,3;NA;NA;NA;NA;NA;;;1,2,3;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;UTP (Useful Tropical Plants), 2019;c183;NA;NA;NA;NA;NA;NA;NA;NA;NA;si;si;NA;agridulce;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;si;NA;NA;NA;NA;NA;NA;NA;NA;NA
