V01;V02;V03;V04;V05;V00;V81;V82;V100;V101;V157;V158;V159;V160;V161;V51;V65;V75;V78;V92;V95;V96;V98;V105;V63;V60;V69;V70;V102;V111;V112;V113;V155;V54;V55;V58;V4
cod.linea;numero_especie;cod.esp;species;fuente.inicial;cod.cita;precipitacion maxima de su zona de distribucion;precipitacion minima de su zona de distribucion;temperatura maxima de su zona de distribucion;temperatura minima de su zona de distribucion;elevacion minima;elevacion maxima;pH de suelo maximo;pH de suelo minimo;tolerancia a condiciones extremas;asocios de cultivos;espaciamiento de siembra;metodo de propagacion;popularidad de la especie;silvicultura: turnos de corte?;uso en la finca;suceptible a enfermedades;tasa de mortalidad de plantines en vivero;tipo de practica agroforestal en el que es dominante;edad minima para aprovechamiento maderable;demanda en tipo de mercado;facilidad de procesamiento de los frutos;fibra;uso en tintes/ pigmentos;uso artesanias;uso cosmeticos/ repelente;uso medicinal;color de la madera;captura de agua/ humedad;captura de carbono;circulacion de aire;colabora con el microclima
;54;e43;Astrocaryum murumuru;Bezerra, 2008;c20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;fertilidad del suelo,ornamental;NA;NA;NA;NA;NA;medio;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;ok, vivo en alto;e43;Astrocaryum murumuru;Cruz et al., 2017;c52;NA;NA;NA;NA;NA;NA;NA;NA;NA;pastos;NA;NA;NA;NA;NA;NA;NA;pastura;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Gutierrez-Vasquez & Peralta, 2001;c90;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Kahn & Millan, 2013;c99;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Paniagua-Zambrana, 2005;c135;NA;NA;NA;NA;150;1000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Saldanha, 2012;c167;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;si;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Tree Functional Attributes and Ecological Database;c203;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Ureta et al., 2014;c180;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;UTP (Useful Tropical Plants), 2019;c183;NA;NA;NA;NA;NA;NA;NA;NA;inundaciones;NA;NA;semilla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;si;si;si;NA;NA;NA;NA;NA
;56;e92;Cecropia engleriana;Berg, 1978;c18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;56;e92;Cecropia engleriana;Casallas-Pabon et al., 2017;c35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;56;e92;Cecropia engleriana;Garcia & Araujo, 2019;c82;2100;1565;36;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;56;e92;Cecropia engleriana;ICRAF Database - Tree Species;c203;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
