V01;V02;V03;V04;V05;V00;V61;V62;V73;V79;V80;V85;V67;V72;V151;V66;V50;V53;V71;V74;V84;V88;V97;V99;V104;V154;V47;V48;V52;V89;V90;V91;V68;V83;V106;V108;V109;V152;V153
cod.linea;numero_especie;cod.esp;species;fuente.inicial;cod.cita;dominancia en el ensamble por n£mero de individuos;dominancia por area basal;gremio ecologico;posicion en estrato vertical en bosque;grupo funcional en la sucesion;presencia en claros;estrato en practica agroforestal;flamabilidad;tolerancia al fuego;estrategia de uso recurso;altura maxima en bosque;capacidad de rebrote;fijaci?n del nitrogeno;longevidad;presencia de nectarios;produccion de hojarasca;tasa de crecimiento adulto;tejidos de protecci?n;tipo de planta;altura de ramificacion;alelopatia negativa;alelopatia positiva;atrayente de plagas;recurso para aves;recurso para micromam!feros;recurso para murcielagos;exigencia de suelos fertiles;preferencia ph suelo;tipo de suelo optimo/preferido;tolerancia a la acidez del suelo;tolerancia a la salinidad del suelo;desarrollo en suelos rocosos;desarrollo en suelos bien drenados
;54;e43;Astrocaryum murumuru;Bezerra, 2008;c20;NA;NA;esciofita;sotobosque;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Cruz et al., 2017;c52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no leguminosa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Gutierrez-Vasquez & Peralta, 2001;c90;NA;NA;NA;NA;NA;NA;NA;NA;si;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;si;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Kahn & Millan, 2013;c99;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;aguijones;NA;primer tercio;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Paniagua-Zambrana, 2005;c135;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Saldanha, 2012;c167;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;si;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Tree Functional Attributes and Ecological Database;c203;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Ureta et al., 2014;c180;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;UTP (Useful Tropical Plants), 2019;c183;NA;NA;NA;NA;NA;si;NA;NA;NA;NA;15;nulo;NA;NA;NA;NA;NA;espinas;palmera;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;si
